TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,YEAR,POSTSEASON,SEED
UNC Asheville,BSth,31,17-14,98.4,98.9,0.4863,48.9,47.9,21.2,24,31.4,36,41.8,39.9,49,46.2,32.2,34.1,69.4,-8.1,2011,16,R64
Boston University,AE,35,21-14,101.6,102.8,0.4667,47.3,46,19,18,34.1,34.3,37.3,30.2,43.3,44.4,35.5,32.4,63.8,-7.6,2011,16,R64
UTSA,Slnd,31,17-14,101.4,104.4,0.4172,49,49.1,19.7,19.9,29.9,33.4,41.1,36.5,46.5,48,35.7,33.9,67.9,-9.2,2011,16,R64
Hampton,MEAC,32,23-9,92.7,98.1,0.342,45.9,43.1,18,22.8,29.3,35.9,41.3,36.3,44.8,41,32.1,31.8,67.1,-5.6,2011,16,R64
Vermont,AE,35,25-10,102.2,100.2,0.5556,48.2,45,20.5,20.2,36.3,33.6,49.4,34.6,48.5,43.7,31.7,32,67.9,-5.1,2010,16,R64
East Tennessee St.,ASun,34,19-15,97.8,97.6,0.5054,47.7,48.6,21.1,24,35,33.7,40.6,39.9,48,47.8,31.2,33.2,68.5,-8.1,2010,16,R64
Lehigh,Pat,33,22-11,104.3,105.3,0.4738,51.4,48.7,18.4,19.4,29.8,29.5,43.1,30.9,47.8,47,39.9,34.7,70.6,-6.8,2010,16,R64
Arkansas Pine Bluff,SWAC,33,17-16,90.4,97.2,0.3012,44.8,45.8,24.4,20.4,35.4,27.3,47.9,54.6,44.7,44.5,30,32.4,66.9,-8,2010,16,R64
East Tennessee St.,ASun,33,22-11,103.8,99.4,0.6221,50.7,48,18.9,22.7,32.1,31.6,39.5,32.4,50.8,46.9,33.6,33,71.5,-5.9,2009,16,R64
Morehead St.,OVC,34,18-16,100,100.6,0.4816,47.8,48.4,22.6,18.1,39.5,29.5,42.7,38.9,47.4,45.8,32.6,35.4,66.6,-9.3,2009,16,R64
Radford,BSth,30,18-12,99,100.9,0.4463,49.8,46.9,22.6,16.8,35.3,29.1,42.8,30.1,49.1,44.9,34.5,33.5,70.1,-6.6,2009,16,R64
Chattanooga,SC,33,16-17,102,107,0.3665,50.4,52.7,21.5,19.3,33,31.8,46.3,31,49.5,51.3,34.5,36.3,71.2,-9.4,2009,16,R64
Portland St.,BSky,31,23-10,106.7,101.9,0.6311,54.4,50.6,20.8,21.4,34.1,31.7,37.8,34.9,50.8,49.7,39.7,34.8,68.1,-3.4,2008,16,R64
Mount St. Mary's,NEC,34,19-15,99,100.1,0.4679,49.8,47.2,20.8,21.5,29.8,33.4,38.7,38,47.9,46.7,36.1,32.2,67.6,-9.5,2008,16,R64
UT Arlington,Slnd,29,21-12,100.1,103,0.4196,52.3,47.5,24,20.7,31.9,31,41.4,38.8,52.5,46.6,34.6,32.6,70.3,-7,2008,16,R64
Mississippi Valley St.,SWAC,31,17-16,89.7,104.7,0.1456,43.4,49.8,21.7,22.8,32.2,34.6,40.3,36.9,40.7,50.9,34.2,31.6,64.9,-10,2008,16,R64
Lamar,Slnd,33,21-12,104.6,101.2,0.5945,46.2,46.9,17.5,20.1,37.6,30.5,41,34.2,45.3,45.4,33.1,34.1,67.3,-4.3,2012,16,R68
Mississippi Valley St.,SWAC,34,21-13,94.4,104.1,0.245,46.3,49.6,20.6,23.5,33.3,32.3,35,42.1,44.9,45.8,32.4,38.1,70.1,-4.9,2012,16,R68
Arkansas Little Rock,SB,34,17-17,99.4,104.6,0.3588,47.8,50.4,18,20.8,29,31.5,42.5,45.5,42.4,50.1,39.3,34,65.3,-11.1,2011,16,R68
Alabama St.,SWAC,33,15-18,91,105.9,0.1495,44.2,46.7,23.4,23.3,35.9,33.3,45.7,52.8,44.5,43.8,29.1,35.7,65,-13,2011,16,R68
Winthrop,BSth,31,17-14,89.6,96,0.3114,41.6,45.7,18,22.6,34,29.8,35.3,39.4,42.6,46.1,25.8,30,65.3,-8.7,2010,16,R68
Alabama St.,SWAC,30,20-10,97.9,101.3,0.4017,51,43.3,20.5,19.7,34.2,35.9,35.9,33.8,52.2,42.8,32.3,29.7,65.3,-5.1,2009,16,R68
Coppin St.,MEAC,35,15-21,91.5,105.1,0.1695,43.5,50.4,22.2,24.9,31.7,38.3,36.6,39.9,42,49.1,32,34.9,63.9,-13,2008,16,R68
Notre Dame,BE,34,27-7,122.1,96.5,0.9369,53.5,46.7,16.4,15.8,33.4,29.5,45.1,25.6,50.7,43.6,38.6,35.3,64.5,7.8,2011,2,R32
Villanova,BE,33,25-8,116.5,95.2,0.9112,52.2,47.4,18.9,21.1,37.7,32,43.9,49.1,50.3,45.5,37.3,33.6,72.3,5.5,2010,2,R32
Duke,ACC,34,28-6,115.8,89.9,0.9488,53.6,47.6,18.3,24.7,33.9,33.7,40.9,31.9,51.7,47,37.7,32.9,73.5,8.9,2008,2,R32
Georgetown,BE,34,28-6,113,87.9,0.9472,56.7,41.9,21.3,19.8,33.1,32.7,34,36,56.2,40.5,38.4,29.6,62.9,7.7,2008,2,R32
Missouri,B12,35,30-5,125.1,98.7,0.9384,58,50.1,15.4,21.5,30.4,32.2,37.5,27.3,57,47.9,39.8,36.8,66.5,8.8,2012,2,R64
Duke,ACC,34,27-7,116,95.3,0.9051,52.8,47.1,17.7,18.5,34.7,31.9,45.1,32.9,51,47,37.1,31.7,68.2,8,2012,2,R64
North Carolina,ACC,37,29-8,111.6,89.1,0.9302,49.1,46.2,18.3,19.6,37.1,30.1,37.9,24.8,49.1,44.4,32.8,33.1,71.8,7.4,2011,2,E8
Florida,SEC,37,29-8,115.2,93.9,0.9133,52.1,47.2,18.7,19.1,37.2,30,35.7,27.8,51.7,47.5,35.2,31.1,63.9,5.3,2011,2,E8
Kansas St.,B12,36,28-8,115.9,90.5,0.9451,50.6,46.8,19.9,23.5,40.6,34,50.3,47.3,49,45.2,36.1,33.7,70.5,6.8,2010,2,E8
Oklahoma,B12,36,30-6,117.9,93.2,0.9369,55.2,45.8,20.1,18.3,36.9,31.9,46.5,28.8,56.6,43,35.1,33.9,68.2,7.4,2009,2,E8
Texas,B12,37,31-7,120.6,93.8,0.9476,51.5,45.7,14.2,17.9,36.3,33.6,32,31,48.5,43.2,38,33.2,64.7,8.4,2008,2,E8
Ohio St.,B10,39,31-8,116.9,86.5,0.9694,52.1,46.4,17.6,22.2,35.7,25.2,38.1,29,52.9,45.2,33.4,32.5,68.1,7.9,2012,2,F4
West Virginia,BE,38,31-7,116.6,91.4,0.9429,48.9,46.9,18.3,20.6,42,32.1,39.6,39.1,48,46.1,33.7,32.4,63.6,8,2010,2,F4
Kansas,B12,39,32-7,113,87.1,0.9526,52.3,43.4,19.2,20.2,34.9,29.1,39.8,33.1,52.5,39.8,34.5,34,67.4,8.3,2012,2,2ND
Michigan St.,B10,38,31-7,113.2,89.1,0.9402,49.8,47.2,20.9,20.3,40.7,27.1,41.1,36.5,48.5,47,35.4,31.8,67.8,7.4,2009,2,2ND
San Diego St.,MWC,35,32-3,112.5,89.5,0.9326,50.5,44.1,16.9,19.4,37.5,29.8,31.1,28,50.2,42.7,34.2,31.6,63.6,8.7,2011,2,S16
Ohio St.,B10,37,29-8,117,91.3,0.9454,56.1,47.1,17.5,21.8,29.5,29.4,35.8,26.4,54.8,45.1,39,33.7,66,5.7,2010,2,S16
Memphis,CUSA,37,33-4,111.8,83.1,0.968,50.1,41.4,18.3,22.4,38,30.4,39.9,35.5,50.6,40,32.6,30,68,6.9,2009,2,S16
Duke,ACC,37,30-7,116.8,92.2,0.9381,50.5,47.8,17.6,23.5,37.4,33.2,41.4,31,49.6,46.7,34.9,33.8,68.2,7.8,2009,2,S16
Tennessee,SEC,35,31-5,114.6,91.6,0.929,52.4,49.1,18.2,24.7,36.2,34.6,38,39.6,51.5,50.3,35.8,31.2,72.8,9.2,2008,2,S16
Georgetown,BE,32,23-9,110.5,89.2,0.9212,51.4,43.1,19.6,19.8,35.5,30.6,38.8,36.3,51.3,43.9,34.4,27.7,63.1,4.7,2012,3,R32
Florida St.,ACC,35,25-10,107.1,88.6,0.8978,51.2,43.7,23.6,22.2,35.4,33.1,34.8,34.3,50.4,42.2,35.4,30.9,67.5,4.3,2012,3,R32
Purdue,B10,34,26-8,114.3,90.5,0.9358,50.7,46,15.7,21.2,32.4,29.7,34.4,30.4,48.8,44.9,36.4,32.6,67,7.2,2011,3,R32
Syracuse,BE,34,26-8,113.9,91.7,0.9238,53.2,45.2,18.8,20.7,36.6,33.5,35.9,29.7,52.9,44.4,35.8,31.1,66.4,6.2,2011,3,R32
Pittsburgh,BE,34,25-9,110.8,92.4,0.8897,49.6,44.6,19.4,16.9,37,31.1,42.8,33.8,48.9,43.6,34.3,31.4,62.4,3.6,2010,3,R32
New Mexico,MWC,35,30-5,113.7,97.1,0.8606,50.6,49.5,16.2,19.9,35.4,27.2,44.9,35,47.8,49.1,36.9,33.3,68.4,4.9,2010,3,R32
Georgetown,BE,34,23-11,115.8,94.5,0.9124,55.7,47.4,20.9,19.7,33.1,32.2,37,33.4,54.7,46,38.7,33.4,66.7,4.3,2010,3,R64
Kansas,B12,39,37-3,121.4,85.5,0.9825,56.6,44.3,19.1,22.4,37.6,29.1,36.4,31,55.4,41.2,39.7,32.8,68.6,9.9,2008,3,Champions
Baylor,B12,37,29-8,115.3,94.1,0.9127,52.3,47.6,20.4,21,38,32.3,35.7,33.4,50.2,46.2,38,33.7,66.6,7,2012,3,E8
Baylor,B12,35,27-8,119.4,93.8,0.9411,54.4,44.5,20.3,17.8,38.2,33.2,36.1,34.2,53,41.3,38.1,33.7,65.6,5.6,2010,3,E8
Missouri,B12,38,31-7,116.3,90.5,0.9475,52.7,46.3,16.3,25.1,34.3,34.7,36.6,39.9,52.7,46.7,35.2,30.3,71.9,6.1,2009,3,E8
Louisville,BE,36,27-9,112.1,86.5,0.9514,53.1,44.1,20.2,21.7,33.4,30.9,36.5,33.5,53.5,43.1,35,30.5,67.2,4.7,2008,3,E8
Xavier,A10,37,30-7,115.5,93.4,0.9205,54.6,47.1,19.8,19.6,35.8,30.1,42.4,31.4,52.2,45.2,39.1,33.6,65.8,4.7,2008,3,E8
Villanova,BE,38,30-8,113.9,90.1,0.9362,50.8,47.3,19,21.7,36.1,29.9,41.9,38.7,49.8,45,35.2,33.7,68.7,6,2009,3,F4
Marquette,BE,35,27-8,110.1,90.6,0.9043,50.1,45.4,18.6,23.3,33.9,35.3,40.9,30.6,50,44.4,33.7,31.6,71,6.2,2012,3,S16
BYU,MWC,36,31-5,116,93.8,0.9197,51.6,46.7,15.2,20.2,30.8,28.5,38.1,33.6,50.2,45.2,35.9,33.3,71.4,7.2,2011,3,S16
Kansas,B12,35,27-8,113.6,89.3,0.9409,53.2,44,20.8,19.4,36.7,29.2,39.5,35.1,52.2,40.8,37.1,33.4,68.2,5.4,2009,3,S16
Syracuse,BE,37,27-10,116.3,92.5,0.933,54.4,46.7,20.8,19.2,35.9,35.3,39.3,26.2,55.4,48.1,34.9,29.6,71.2,5.9,2009,3,S16
Wisconsin,B10,36,31-5,112.6,85.4,0.96,50.6,43.4,19.5,21.9,36.2,28.6,39.9,25.4,49.3,41.7,35.6,31.3,63.1,8.3,2008,3,S16
Stanford,P10,36,28-8,112.8,89.8,0.932,49.8,44.3,18.8,17.7,39.1,29.2,39.6,32.8,48,42.1,36.6,33.3,65.1,6.7,2008,3,S16
Texas,B12,36,28-8,114.3,88.5,0.9501,50.2,42.5,17.3,18.8,38.2,30.6,43.1,30.7,48.1,41.9,37.6,29.5,66.9,5.4,2011,4,R32
Wisconsin,B10,33,24-9,115.1,90.7,0.9394,51.4,46.8,14.5,19.9,30.2,26.4,32.5,36,50,45.1,35.7,34.3,60.4,3.9,2010,4,R32
Maryland,ACC,32,23-9,117.3,95.3,0.9162,51.8,45,16.3,21.3,35.3,36.8,33.9,29.6,49.9,42.2,38.6,34,70.3,3.3,2010,4,R32
Washington,P10,34,25-9,111.8,89.7,0.9266,48.8,46.8,20.1,20.2,41.9,31,44.3,33.3,48.4,45.4,33.8,33.4,73.5,5,2009,4,R32
Pittsburgh,BE,36,27-10,116.2,95.9,0.9015,50.8,47.9,18.2,20.9,39.3,33.9,36.1,28.6,50.8,46.8,33.8,33.4,65.3,5.3,2008,4,R32
Michigan,B10,33,23-10,113.9,94.7,0.8925,53.4,49,17.6,19.9,28.3,30.6,28.6,30.2,54,47.2,35.1,35.1,61.6,6.4,2012,4,R64
Louisville,BE,35,25-10,110.7,89.1,0.9237,52.6,44.5,19,23.4,34.8,35.2,29.9,39.8,51.5,43.4,36.2,31.1,68,4.7,2011,4,R64
Vanderbilt,SEC,32,23-9,113.1,95.2,0.8789,52.6,47,19.3,19.2,32.6,35.1,48.3,34.5,51.5,45.2,36.9,33.9,69.6,3.2,2010,4,R64
Wake Forest,ACC,31,24-7,111.1,92.3,0.8933,52.4,45.2,21.1,20.9,36.1,31,43.5,32.7,53.6,45,32,30.4,73.6,5.1,2009,4,R64
Connecticut,BE,33,24-9,114.9,95,0.8992,50.6,44.2,19.4,17.3,39.5,34.2,48.1,23.5,49.5,40.5,36.1,34.8,69,4.3,2008,4,R64
Vanderbilt,SEC,34,26-8,111.4,97.8,0.8175,54.1,49.7,19.8,20.5,31,33.5,38.3,32,50.6,48.3,39.9,35,70.4,3.8,2008,4,R64
Louisville,BE,40,30-10,104.6,84.9,0.9164,47.3,43.3,20.7,22.9,35.7,33.9,36.2,34.3,47.2,42.2,31.8,30.3,66.9,5.6,2012,4,F4
Kentucky,SEC,38,29-9,118.2,91.8,0.9479,52.3,44.2,16.1,18.2,34.3,30.7,36.1,30.1,48.8,42.4,39.7,32.4,66.3,5.2,2011,4,F4
Wisconsin,B10,36,26-10,113.1,88.9,0.9406,50.1,42.5,15,18.2,30.6,27.8,30.7,29.8,46.5,42,36.8,29.4,58.6,5,2012,4,S16
Indiana,B10,36,27-9,120.1,96.6,0.9239,55.2,48.1,19.2,20,35.3,31.3,44.5,34.3,51.5,46.2,43.1,34.9,67.6,5.9,2012,4,S16
Wisconsin,B10,34,25-9,122.1,96.2,0.9398,51.8,48.2,13.1,16.8,33.8,27.1,29.5,32.9,48.9,45.2,37.4,37,57.9,5.9,2011,4,S16
Purdue,B10,35,29-6,108.3,86.3,0.9318,49.1,44.8,16.3,23.4,29.4,31.8,38.6,36.8,49.7,41.6,31.8,35.4,67.5,6.6,2010,4,S16
Gonzaga,WCC,33,27-6,116,91.5,0.9384,55.2,44.2,16.4,21.3,30.8,30.4,35.5,29.5,53.3,39.4,39.4,35.2,68.9,4.4,2009,4,S16
Xavier,A10,35,27-8,109.1,89.8,0.9033,52.2,43.7,21.1,17.9,36.9,27.8,45.3,33.2,48.8,41.6,39.4,32.4,67.2,2.8,2009,4,S16
Washington St.,P10,35,26-9,113.4,89.8,0.9359,53.7,46.7,17,21.9,27.8,29.8,38.5,28.4,53,45.3,36.8,33.1,60,4.9,2008,4,S16
Vanderbilt,SEC,36,25-11,115.2,92.9,0.9218,54.1,46.9,20,19,32.2,31.7,40.1,28.6,51.2,47.2,38.8,30.9,66,4,2012,5,R32
New Mexico,MWC,34,27-7,109.5,90.2,0.903,52.8,44.4,20,21.3,34.3,27.7,38.8,31.5,50.5,43.1,37.8,31.1,66.5,2.9,2012,5,R32
West Virginia,BE,33,21-12,114.4,93.6,0.9099,48.5,45.9,18.8,18.6,40.2,35.5,40.9,36,47.5,47,33.7,29.1,63.6,3.1,2011,5,R32
Kansas St.,B12,33,22-11,111.4,91.7,0.904,49.6,47.3,21.3,22.2,40.9,30.9,43.1,45.3,46.4,45.1,37.5,35.1,68.3,2,2011,5,R32
Texas A&M,B12,33,23-10,111.3,89.7,0.9225,49.6,46.7,18.4,20.6,33.5,29.7,48.4,35.4,49,44.9,33.8,33.6,66.1,4.4,2010,5,R32
Notre Dame,BE,33,25-8,114.6,95.1,0.8957,52.2,46.6,18.3,17.5,36.2,30.7,34,23,47.8,44.8,40.5,33.5,70.5,4.4,2008,5,R32
Wichita St.,MVC,32,26-6,115.5,92.2,0.9303,53.8,44.8,17.9,18.6,33.4,26.4,34.6,32.8,53,43.8,36.9,31.2,66.7,4.4,2012,5,R64
Temple,A10,31,23-8,112.9,96.1,0.864,52.9,48.4,18,19.4,31,31.7,34.4,33.6,50.1,47.3,39.4,34.1,67.1,4.2,2012,5,R64
Vanderbilt,SEC,34,23-11,115.8,97.8,0.8744,52.9,46,19,17.5,32.9,32.1,45.2,28,51.1,45.6,37.1,31.3,67.7,1.8,2011,5,R64
Temple,A10,35,29-6,107.2,87.7,0.9091,49.1,43,16.8,18.1,32.4,27.9,27.4,26.9,48.4,43.1,33.7,28.5,61.5,5.3,2010,5,R64
Illinois,B10,34,24-10,105.3,87.3,0.8971,51.1,44.2,19.4,21.6,30.2,32.7,22.5,26.7,50.5,44.1,35,29.6,63.9,3.8,2009,5,R64
Utah,MWC,33,24-9,109.4,92.2,0.877,54.6,45.1,21,15.9,27.6,25.6,39.2,36.3,54.1,42.5,37,34.9,66,2.7,2009,5,R64
Florida St.,ACC,35,25-10,105,89.6,0.8612,49.2,44.7,22.9,22.3,34.6,35.4,39.2,35.7,48.1,42.1,34.2,32.7,67.2,5,2009,5,R64
Clemson,ACC,33,24-10,113.2,90.4,0.9299,51.9,48.1,20.3,24.6,39.8,36.4,30.6,33.8,49.7,49,37.5,30.4,69.6,4.4,2008,5,R64
Drake,MVC,31,28-5,119.3,97.7,0.9081,52.6,50.4,18,24.1,36.7,33.1,35.2,23.9,50.5,49.5,36.7,34.5,64.4,5.2,2008,5,R64
Arizona,P10,38,30-8,117.6,96.5,0.9071,54.1,48.6,18.8,18.5,34,29.2,43.6,36.6,51,50.4,39.7,29.3,66.3,4.7,2011,5,E8
Michigan St.,B10,37,28-9,112.5,92.4,0.9063,51.6,46.6,21,18.8,39.8,28.4,36.9,31.4,51.6,45.1,34.4,32.8,66.8,3.5,2010,5,F4
Butler,Horz,38,33-5,108.7,88.2,0.9163,51,46.6,18.7,21.6,30.4,27.4,46.9,34.6,50.9,46.1,34.2,31.7,64.4,4.5,2010,5,2ND
Purdue,B10,37,27-10,109.4,87.6,0.9274,50,44.1,17.3,22.4,29.4,31.8,33.2,31.3,49,41.8,34.7,32.8,67.7,3.9,2009,5,S16
Michigan St.,B10,36,27-9,114.7,92.7,0.9207,52.6,46,21.1,18.9,39.5,31.6,33.5,33.1,51.6,45.6,37.1,31.1,65.3,5.1,2008,5,S16
Murray St.,OVC,30,28-2,105.5,92.5,0.8196,53.5,45.6,20.7,24.1,34.1,34.1,45.3,34.7,50.4,46.3,39.5,29.2,66.1,3.8,2012,6,R32
Cincinnati,BE,35,26-9,110.3,91.1,0.8997,49.4,45.8,17.9,22,38.2,31,38.3,35.4,48.8,44.7,33.8,32.3,64.1,3.4,2011,6,R32
UCLA,P10,35,26-9,119.4,93.9,0.9406,55.7,49.8,19,23.9,36.3,31.3,31.2,35.6,53.5,48,39.9,36.1,66.7,4.5,2009,6,R32
Arizona St.,P10,35,25-10,117.2,93.4,0.9315,56.4,47,18.6,19.5,29.1,30,38.7,30.9,57.1,46.5,37,31.9,60.8,4.8,2009,6,R32
Marquette,BE,35,25-10,116.5,94.7,0.9147,51.2,50.9,16.7,21.5,35,30.6,45.4,30.1,50.7,50.3,34.7,34.7,69.2,3.4,2009,6,R32
Marquette,BE,34,25-10,114.1,91.1,0.9304,50.6,46.3,18.7,23.9,38.2,33.4,37.5,41,49,46.7,35.8,30.4,68.6,3.8,2008,6,R32
Purdue,B10,34,25-9,110.1,90.5,0.9047,49.1,49.1,19.1,26,33.1,30.9,37.1,42.6,45.3,47.6,37.3,34.8,68.5,3.8,2008,6,R32
Oklahoma,B12,35,23-12,107.4,93.3,0.8352,50.1,47,19.7,20.2,33.4,30.2,38.7,30.3,49,46,34.8,32.6,65.1,2.8,2008,6,R32
UNLV,MWC,33,24-9,107.9,91.9,0.8639,52.7,46.3,19.2,21.3,32.2,30.2,35.3,34,51.2,44.3,36.7,33.6,70,2.8,2012,6,R64
San Diego St.,MWC,32,24-8,105,94.8,0.7658,50.1,47,18.7,18.6,30.9,27,35.8,28.8,49.8,45.1,33.8,33.7,66.6,2.9,2012,6,R64
St. John's,BE,33,21-12,111.1,93.3,0.8811,49.5,50.8,18.5,24.1,32.5,33.1,44.2,40.2,49.3,47.6,33.5,37.2,66.9,3.2,2011,6,R64
Georgetown,BE,32,21-11,112.2,95.5,0.8642,54.1,46.8,20.8,17.5,33.7,32.3,33.4,37.9,54.7,45.2,35.3,33.7,65,4.4,2011,6,R64
Xavier,A10,32,24-8,110.8,95.9,0.8402,51.2,46.5,18.2,18.9,32.4,27.7,44.5,35,52,44.2,32.9,33.9,65.9,2.4,2011,6,R64
Marquette,BE,34,22-12,114.5,94.1,0.905,52.8,49.7,15.9,22,31.2,33,34.9,29.4,47.9,50,41.3,32.5,64.1,1.8,2010,6,R64
Notre Dame,BE,35,23-12,119.2,99.4,0.8904,53.7,49.3,16,15.9,34.7,30.5,38.1,27.8,51.3,47.8,38.8,34.9,64.6,0.5,2010,6,R64
West Virginia,BE,35,23-12,114.4,90,0.94,48.5,46.6,18.2,23.4,41,31.5,35.9,38.4,48,47.1,32.9,30.2,65.6,3.9,2009,6,R64
USC,P10,33,21-12,109.4,90.8,0.8945,53.3,44.8,21.9,20,31.1,35,38.7,27.9,51.5,44.1,38.7,30.7,67.4,3.6,2008,6,R64
Tennessee,SEC,37,28-9,108.4,90.1,0.8928,50.6,45.2,18.9,23.1,33.5,32.3,35.6,40.7,51.8,45.7,32,29.7,69,3.9,2010,6,E8
Cincinnati,BE,37,26-11,109.6,91.4,0.8901,48,46.2,16.8,21.5,35.7,34.4,29.3,26.3,46.4,45.1,34.1,32.3,64.3,3.1,2012,6,S16
Xavier,A10,35,26-9,115.6,94.5,0.9104,52.2,45.6,18,17.8,35.2,29.9,41.9,32.9,50.1,46,37.7,29.8,69.8,2.8,2010,6,S16
Gonzaga,WCC,33,26-7,112.1,93.8,0.8862,53.5,46.6,19.7,19.4,34.6,28,46.1,27.5,51.8,46.6,37.9,31.1,65.8,2.1,2012,7,R32
Washington,P10,35,24-11,117.3,95.6,0.9127,53.7,46.4,16.8,20.4,37.7,31.9,31.5,44,52.5,45.3,37.1,32.8,71.8,1.9,2011,7,R32
Temple,A10,34,26-8,109,93.1,0.8592,50,46.3,16.3,19.9,32.1,28.7,33.8,26.4,48.7,43.5,35.3,35.8,65.5,2.1,2011,7,R32
UCLA,P10,34,23-11,107.5,92.7,0.8463,50.2,46.3,21.9,17.9,36.1,31.5,44.3,33,50.7,44.2,32.7,34.7,66.6,1.4,2011,7,R32
BYU,MWC,35,29-6,116.6,93.2,0.9288,54.9,46.6,15.9,22,30.8,28.1,38.9,36.4,51.3,44.6,41.4,33.8,71.8,4,2010,7,R32
Texas,B12,35,23-12,111.6,91.9,0.9027,48.5,46,18.6,20,39.2,32.7,38.6,36.6,48.2,43.5,32.8,34.3,66.5,2.6,2009,7,R32
Butler,Horz,34,30-4,114.2,94.9,0.8946,54.1,48,16.9,22.9,29.8,32.2,36.7,32.6,51.3,48.2,38,31.8,61.2,4.7,2008,7,R32
Miami FL,ACC,33,23-11,111.5,95.1,0.862,49.2,47,19,20.6,35.1,34,39.2,35.4,45.7,43.7,37.9,35.6,67.7,1.6,2008,7,R32
Saint Mary's,WCC,31,25-6,111.2,98.3,0.8056,53.3,48.4,18.1,18.4,35.9,26.1,38.9,29.1,54.9,46.1,33.7,36.6,64.7,2.8,2012,7,R64
Notre Dame,BE,34,22-12,108.7,96.2,0.8045,49.5,45.8,16.1,17.3,30.5,32.3,37.4,25.6,49.3,45.2,33.2,31.4,62,2.3,2012,7,R64
Texas A&M,B12,32,23-9,107.6,94.6,0.8147,49.3,46.6,20.3,20.8,37.6,29.5,47.3,36.9,48.6,46.2,33.8,31.6,62.7,2.4,2011,7,R64
Clemson,ACC,32,21-11,110.4,90.1,0.9113,51.1,46.4,21.4,24.6,36.5,33.5,34.8,35.4,50.9,47.3,34.2,29.4,69.5,1.5,2010,7,R64
Oklahoma St.,B12,33,22-11,113.4,93.7,0.9005,52.4,48.1,18.4,19.4,29.1,27.9,36.5,37.2,52.5,45,34.9,36.1,67.6,1.8,2010,7,R64
Richmond,A10,35,26-9,108,92.6,0.8543,51.1,44.2,16.9,22.7,26.5,35.8,32.4,36.2,49.9,43.8,35.5,30.1,63.8,2.6,2010,7,R64
Clemson,ACC,32,23-9,115.8,95.4,0.9033,52.8,48.3,20.2,24.4,39.8,37.1,31.5,32.5,51,46,37.4,35.9,69.2,2.7,2009,7,R64
California,P10,33,22-11,116.1,98.3,0.8712,54,49,18,18.5,32.5,30.8,34.3,33,50.3,47.7,42.7,34.9,67.4,3.2,2009,7,R64
Boston College,ACC,34,22-12,112.6,99.7,0.8018,49.7,47.4,19.7,18.4,40.6,37.1,36.7,34.8,49.4,46.7,33.4,32.8,67,0.5,2009,7,R64
Gonzaga,WCC,33,25-8,112.6,93.3,0.8969,54.5,45.7,20.7,21.6,34.6,29.7,39.7,32.1,53.7,43.8,37.5,32.7,68.4,2.1,2008,7,R64
Florida,SEC,37,26-11,120.6,96.4,0.9296,54.8,47.8,16.9,19.1,33.5,30.2,33.2,29.9,53,46.2,38,34.2,65.5,3.1,2012,7,E8
West Virginia,BE,36,26-11,113.8,92.7,0.9138,51.4,48,16.4,22.8,34.4,31.2,36.6,39.7,50.1,45.2,36,35.8,65.6,2.6,2008,7,S16
Iowa St.,B12,34,23-11,112.7,95.2,0.8752,52.6,48.6,18.3,17.2,32.3,26.5,38.7,26.5,50.3,49.8,37.3,30.6,67.1,2,2012,8,R32
Kansas St.,B12,33,22-11,108.2,91.6,0.871,48.9,46,21.2,23.5,40.7,33.7,43.2,41.8,48.3,44.7,33.5,32.5,67.4,2.2,2012,8,R32
Creighton,MVC,35,29-6,118.2,102.2,0.8415,57.8,49.6,17.7,15.3,30.8,26.1,38.1,29.3,54.7,47.6,42.4,36.1,67.1,4.7,2012,8,R32
Michigan,B10,34,20-14,111.9,93.2,0.8907,52.3,48.9,16.2,18.8,25.2,29.3,26.7,30.4,51.7,49.4,35.3,32,62.7,1.9,2011,8,R32
George Mason,CAA,34,27-7,111.2,95.7,0.8494,53.2,46.6,17,20.5,32.9,31.3,38.6,32,50.5,45.5,39.5,32.6,65.8,1.1,2011,8,R32
California,P10,35,24-11,119.4,96.5,0.921,53.3,48.3,17.7,18.7,34.7,31.1,35.4,33.3,52,48.8,37.4,31.6,68.3,1.7,2010,8,R32
Gonzaga,WCC,33,26-7,111.3,93.6,0.88,54,46.8,18.6,18.2,32,28.6,49.2,34.2,54.4,44.8,35.5,33.9,69.3,2.5,2010,8,R32
Oklahoma St.,B12,35,23-12,116,96.7,0.8904,54,50.2,17,20.8,28.2,31.2,39.4,41.3,51.4,49.4,38.4,34.5,70.6,2.7,2009,8,R32
LSU,SEC,35,27-8,111.2,95.5,0.8511,49.9,45.6,17.7,19.2,37.6,30.8,35.4,35.2,47.6,44.9,37.2,31.5,66.6,2.4,2009,8,R32
Mississippi St.,SEC,34,23-11,107.8,91.1,0.8734,52.2,42.5,21.4,17.8,34.7,32.7,39,28,53.3,39.8,33.4,31.7,68.5,0.6,2008,8,R32
UNLV,MWC,34,27-8,108.8,94,0.8434,48.6,46.3,16.2,21.6,29.1,32.3,33.3,32.4,47.8,47,33.2,30.1,66.2,2.2,2008,8,R32
Memphis,CUSA,35,26-9,112.5,91,0.9199,54,43.4,18.7,20.7,31.3,32.8,41.3,38.3,53.9,42,36.2,31.2,68.3,3,2012,8,R64
