SEED,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
6,Texas,B12,32,21-11,111.4,91.1,0.9098,50.1,46.5,18.2,23.3,31.9,30,32.3,36.8,50.9,46.1,32.3,31.6,63,3
6,LSU,SEC,33,22-11,106.4,89.5,0.8801,49.5,45.1,20.4,25.3,33.7,31.2,33,38.4,50.5,47.7,31.9,28,68.7,2.4
6,Alabama,SEC,32,19-13,115.9,98.5,0.8666,51.5,49.4,19.8,17.7,35.5,30.7,33.6,35.2,56.3,49.3,30.8,33.1,71.6,2.2
6,Colorado St.,MWC,29,25-5,112.6,98.1,0.8303,55.2,49.9,15.1,18.4,21.9,24.9,30.4,25,56.3,50.5,35.7,32.7,65.3,4.8
7,Ohio St.,B10,30,19-11,116.8,99.6,0.8626,54.8,47.9,16.7,15.3,28.8,28.6,33.5,29.2,54,46.2,37.3,34,65.1,1.7
7,Michigan St.,B10,34,22-12,110.7,95.7,0.8417,52,47.5,19.2,15.3,30.7,27,30.4,28.3,49.7,47.9,37.8,31.2,67.6,3.3
7,Murray St.,OVC,29,30-2,109.6,95.1,0.836,52.9,48,17.1,21,35.5,25.4,31.1,24.6,53.5,50,34.7,30.1,65.9,3.6
7,USC,P12,33,26-7,109.1,96.6,0.8032,51.1,44.7,17.7,14.7,33.8,27.2,30.9,26.3,50.1,41.6,35.4,33.7,66,4.3
8,San Diego St.,MWC,31,23-8,102.3,86.3,0.8762,48.8,44,19.3,21.7,29.6,27,31.3,30.6,46.6,43.1,35.8,30.4,65.2,3.1
8,Boise St.,MWC,33,27-7,108.2,92.3,0.8618,51.1,48.2,18.5,20.1,30.6,21.9,35.2,25.8,51.1,48,34.1,32.4,64.7,4
8,North Carolina,ACC,33,24-9,112.3,96.2,0.8547,52.1,49.8,16.5,14.1,30.4,20.8,29.6,21.5,50.7,48.3,36.2,34.9,70.2,3.8
8,Seton Hall,BE,30,21-10,106.8,93.6,0.821,47.6,45.4,17.5,18.5,32.7,29.1,30.8,27.8,46.2,44.8,33.3,31,67.5,2.1
9,Memphis,Amer,31,21-10,111,92.8,0.8874,52.6,46.5,22.9,20.9,37.5,31,38.4,32.9,52,45.3,35.9,32.1,70.4,1.6
9,TCU,B12,32,20-12,107.9,93.4,0.8404,48.9,47.7,21.6,18.4,37.8,26.1,31.2,26.7,50.5,47.9,30.3,31.5,65.8,2.6
9,Marquette,BE,31,19-12,108.8,95.6,0.8146,52.6,46.7,17.3,19.1,22.4,31.4,26.8,29.7,52.9,46.2,34.7,31.7,71,0.6
9,Creighton,BE,33,22-11,103.8,91.7,0.8064,50.9,44.9,20.5,15.5,28.6,28.4,26,20.3,53.9,43.5,30.7,31.7,66.8,2
